NUMBER,TICK,TIME,PRESSURE,TEMPERATURE_BMP280,BMP280_ERR,BAR_HEIGHT,LAT,LON,HEIGHT,HASFIX,ADC_HIGH_1,ADC_LOW_1,RESISTANCE_1,ADC_HIGH_2,ADC_LOW_2,RESISTANCE_2,ADC_HIGH_3,ADC_LOW_3,RESISTANCE_3
48,240,303107,98748.0,26.139999389648438,0,214.57400271582551,5663.9951171875,5.5103960161876944E-40,144.89999389648438,1,41849,59381,199993,31,17778,6,41003,58643,199993
49,245,309406,98738.0,26.229999542236328,0,215.42359746407737,5632.009765625,9.183689745645554E-41,144.89999389648438,1,39498,57239,199993,39459,57207,199993,39530,57281,199993
50,250,315668,98735.0,26.360000610351562,0,215.67848947444807,5632.00927734375,9.183479550875905E-40,145.60000610351562,1,39496,57238,199993,39489,57235,199993,41462,59091,199993
51,255,321907,98730.0,26.329999923706055,0,216.10332342750982,5643.4873046875,3742.947509765625,144.89999389648438,1,39496,57241,199993,39482,57234,199993,39597,57179,199993
52,260,328185,98730.0,26.309999465942383,0,216.10332342750982,5643.4873046875,3742.947509765625,145.1999969482422,1,39495,57241,199993,39460,57215,199993,39453,57204,199993
53,265,334449,98723.0,26.579999923706055,0,216.6981202296212,5643.4873046875,3742.94775390625,145.60000610351562,1,39497,57245,199993,39462,57215,199993,39452,57207,199993
54,270,340714,98724.0,26.709999084472656,0,216.6131471671942,5643.4873046875,3742.947265625,146.10000610351562,1,39495,57246,199993,39467,57219,199993,39452,57209,199993
55,275,346975,98723.0,26.850000381469727,0,216.6981202296212,5632.01171875,9.18523117395631E-41,146.0,1,39497,57249,199993,39459,57218,199993,39453,57211,199993
56,280,353213,98727.0,27.020000457763672,0,216.3582321613778,5632.01171875,3.673517937212151E-40,145.39999389648438,1,39499,57252,199993,39460,57219,199993,39452,57213,199993
57,285,359482,98725.0,27.139999389648438,0,216.52817480168372,5632.01123046875,1.8368220270369702E-40,145.8000030517578,1,39501,57255,199993,39468,57226,199993,39452,57215,199993
