0,0,2737,25.375,0,0,0,0,0,27.879700785414798,28.15277449333678,27.697866793258356,0,0,0
0,0,2920,25.4375,0,0,0,0,0,28.061705924032992,28.426252966717527,27.879700785414798,0,0,0
0,0,2962,25.625,0,0,0,0,0,28.517505821970474,28.426252966717527,28.426252966717527,0,0,0
0,0,3007,25.8125,0,0,25,62,0,27.42542400402243,28.608806583766068,28.700155988861525,0,0,0
1,15,21750,25.875,0,0,25,61,0,27.243992504919788,27.15333369949616,27.15333369949616,0,0,0
2,30,40533,25.9375,0,0,26,59,0,25.076947296731873,26.248662522075108,26.70058036133969,0,0,0
3,45,59285,26.0625,0,0,26,59,0,24.447567170298043,25.707338438195052,26.610132813024222,0,0,0
4,60,78029,26.1875,0,0,26,59,0,24.088281931956374,25.887669870744844,26.51971796858254,0,0,0
5,75,96810,26.3125,0,0,26,57,0,23.54972540663914,25.887669870744844,26.51971796858254,0,0,0
6,90,115555,26.4375,0,0,26,57,0,23.37028290108725,25.887669870744844,26.51971796858254,0,0,0
7,105,134349,26.5625,0,0,26,56,0,23.280572765693364,25.887669870744844,26.51971796858254,0,0,0
8,120,153119,26.75,0,0,26,56,0,23.190869093456854,25.97787574495902,26.338983536113062,0,0,0
9,135,171873,26.875,0,0,26,56,0,23.101171172371835,26.068109337799683,26.791061328176852,0,0,0
10,150,194848,27.0,0,0,26,56,0,24.357724107556976,27.062711897253678,27.607012161355897,0,0,0
11,165,220329,26.9375,0,0,26,55,0,26.068109337799683,27.788762759459814,28.24388803574334,0,0,0
12,180,245810,27.0,0,0,26,55,0,26.972126379627014,28.24388803574334,28.791554775442478,0,0,0
13,195,271292,27.0,0,0,26,55,0,27.697866793258356,28.608806583766068,29.15765855228176,0,0,0
14,210,296773,27.0,0,0,26,55,0,28.335047282643416,28.700155988861525,29.52461188294285,0,0,0
15,225,322255,27.0,0,0,26,55,0,28.883003683157654,28.883003683157654,29.800413262156496,0,0,0
16,240,347735,27.0625,0,0,26,55,0,29.24931537151525,28.97450345315417,29.984571407742067,0,0,0
17,255,373217,27.125,0,0,26,55,0,29.52461188294285,29.0660548281125,30.16896909867677,0,0,0
18,270,398698,27.125,0,0,26,55,0,29.708422115290148,29.15765855228176,30.261259684605193,0,0,0
19,285,424179,27.1875,0,0,26,55,0,29.800413262156496,29.24931537151525,30.538507625632576,0,0,0
