0,0,4569,26,0,0,26,55,0,498,504,491,0,0,0
1,15,15149,26,0,0,26,55,0,498,504,491,0,0,0
2,30,21718,26,0,0,26,55,0,498,503,490,0,0,0
3,45,28299,26,0,0,26,54,0,497,502,490,0,0,0
4,60,34906,26,0,0,26,55,0,496,502,490,0,0,0
5,75,44438,26,0,0,26,54,0,496,501,490,0,0,0
6,90,54965,26,0,0,26,54,0,496,499,489,0,0,0
7,105,65228,26,0,0,26,54,0,495,499,489,0,0,0
8,120,75698,26,0,0,26,54,0,494,498,489,0,0,0
9,135,83341,26,0,0,26,54,0,493,498,488,0,0,0
10,150,89929,26,0,0,26,54,0,493,498,488,0,0,0
11,165,96519,26,0,0,26,54,0,493,498,488,0,0,0
12,180,102516,26,0,0,26,54,0,493,497,488,0,0,0
